eta_lambda,rho,class
1.49,0.9486832980505138,complex_damped
1.5,0.9486832980505139,complex_damped
1.51,0.9486832980505139,complex_damped
1.52,0.9486832980505138,complex_damped
1.53,0.9486832980505138,complex_damped
1.54,0.9486832980505138,complex_damped
1.55,0.9486832980505138,complex_damped
1.56,0.9486832980505138,complex_damped
1.57,0.9486832980505138,complex_damped
1.58,0.9486832980505138,complex_damped
1.59,0.9486832980505138,complex_damped
1.6,0.9486832980505138,complex_damped
1.61,0.9486832980505138,complex_damped
1.62,0.9486832980505138,complex_damped
1.63,0.9486832980505138,complex_damped
1.64,0.9486832980505138,complex_damped
1.65,0.9486832980505138,complex_damped
1.66,0.9486832980505139,complex_damped
1.67,0.9486832980505139,complex_damped
1.68,0.9486832980505138,complex_damped
1.69,0.9486832980505138,complex_damped
1.7,0.9486832980505138,complex_damped
1.71,0.9486832980505138,complex_damped
1.72,0.9486832980505138,complex_damped
1.73,0.9486832980505139,complex_damped
1.74,0.9486832980505138,complex_damped
1.75,0.9486832980505139,complex_damped
1.76,0.9486832980505138,complex_damped
1.77,0.9486832980505138,complex_damped
1.78,0.9486832980505138,complex_damped
1.79,0.9486832980505138,complex_damped
1.8,0.9486832980505138,complex_damped
1.81,0.9486832980505139,complex_damped
1.82,0.9486832980505138,complex_damped
1.83,0.9486832980505138,complex_damped
1.84,0.9486832980505138,complex_damped
1.85,0.9486832980505138,complex_damped
1.86,0.9486832980505138,complex_damped
1.87,0.9486832980505139,complex_damped
1.88,0.9486832980505138,complex_damped
1.89,0.9486832980505139,complex_damped
1.9,0.9486832980505138,complex_damped
1.91,0.9486832980505139,complex_damped
1.92,0.9486832980505138,complex_damped
1.93,0.9486832980505139,complex_damped
1.94,0.9486832980505138,complex_damped
1.95,0.9486832980505138,complex_damped
1.96,0.9486832980505138,complex_damped
1.97,0.9486832980505138,complex_damped
1.98,0.9486832980505138,complex_damped
1.99,0.9486832980505138,complex_damped
2.0,0.9486832980505138,complex_damped
2.01,0.9486832980505138,complex_damped
2.02,0.9486832980505138,complex_damped
2.03,0.9486832980505138,complex_damped
2.04,0.9486832980505138,complex_damped
2.05,0.9486832980505139,complex_damped
2.06,0.9486832980505138,complex_damped
2.07,0.9486832980505139,complex_damped
2.08,0.9486832980505138,complex_damped
2.09,0.9486832980505138,complex_damped
2.1,0.9486832980505138,complex_damped
2.11,0.9486832980505138,complex_damped
2.12,0.9486832980505138,complex_damped
2.13,0.9486832980505139,complex_damped
2.14,0.9486832980505138,complex_damped
2.15,0.9486832980505138,complex_damped
2.16,0.9486832980505138,complex_damped
2.17,0.9486832980505138,complex_damped
2.18,0.9486832980505138,complex_damped
2.19,0.9486832980505138,complex_damped
2.2,0.9486832980505139,complex_damped
2.21,0.9486832980505138,complex_damped
2.22,0.9486832980505138,complex_damped
2.23,0.9486832980505139,complex_damped
2.24,0.9486832980505139,complex_damped
2.25,0.9486832980505138,complex_damped
2.26,0.9486832980505138,complex_damped
2.27,0.9486832980505138,complex_damped
2.28,0.9486832980505138,complex_damped
2.29,0.9486832980505139,complex_damped
2.3,0.9486832980505139,complex_damped
2.31,0.9486832980505138,complex_damped
2.32,0.9486832980505138,complex_damped
2.33,0.9486832980505138,complex_damped
2.34,0.9486832980505138,complex_damped
2.35,0.9486832980505138,complex_damped
2.36,0.9486832980505138,complex_damped
2.37,0.9486832980505138,complex_damped
2.38,0.9486832980505138,complex_damped
2.39,0.9486832980505138,complex_damped
2.4,0.9486832980505138,complex_damped
2.41,0.9486832980505139,complex_damped
2.42,0.9486832980505139,complex_damped
2.43,0.9486832980505138,complex_damped
2.44,0.9486832980505138,complex_damped
2.45,0.9486832980505138,complex_damped
2.46,0.9486832980505139,complex_damped
2.47,0.9486832980505139,complex_damped
2.48,0.9486832980505138,complex_damped
2.49,0.9486832980505139,complex_damped
2.5,0.9486832980505139,complex_damped
2.51,0.9486832980505138,complex_damped
2.52,0.9486832980505139,complex_damped
2.53,0.9486832980505138,complex_damped
2.54,0.9486832980505139,complex_damped
2.55,0.9486832980505138,complex_damped
2.56,0.9486832980505137,complex_damped
2.57,0.9486832980505138,complex_damped
2.58,0.9486832980505138,complex_damped
2.59,0.9486832980505139,complex_damped
2.6,0.9486832980505138,complex_damped
2.61,0.9486832980505138,complex_damped
2.62,0.9486832980505138,complex_damped
2.63,0.9486832980505138,complex_damped
2.64,0.9486832980505139,complex_damped
2.65,0.9486832980505138,complex_damped
2.66,0.9486832980505138,complex_damped
2.67,0.9486832980505139,complex_damped
2.68,0.9486832980505138,complex_damped
2.69,0.9486832980505138,complex_damped
2.7,0.9486832980505139,complex_damped
2.71,0.9486832980505138,complex_damped
2.72,0.9486832980505139,complex_damped
2.73,0.9486832980505139,complex_damped
2.74,0.9486832980505139,complex_damped
2.75,0.9486832980505138,complex_damped
2.76,0.9486832980505138,complex_damped
2.77,0.9486832980505138,complex_damped
2.78,0.9486832980505138,complex_damped
2.79,0.9486832980505139,complex_damped
2.8,0.9486832980505138,complex_damped
2.81,0.9486832980505138,complex_damped
2.82,0.9486832980505139,complex_damped
2.83,0.9486832980505138,complex_damped
2.84,0.9486832980505138,complex_damped
2.85,0.9486832980505138,complex_damped
2.86,0.9486832980505138,complex_damped
2.87,0.9486832980505138,complex_damped
2.88,0.9486832980505139,complex_damped
2.89,0.9486832980505138,complex_damped
2.9,0.9486832980505139,complex_damped
2.91,0.9486832980505138,complex_damped
2.92,0.9486832980505138,complex_damped
2.93,0.9486832980505138,complex_damped
2.94,0.9486832980505138,complex_damped
2.95,0.9486832980505138,complex_damped
2.96,0.9486832980505138,complex_damped
2.97,0.9486832980505138,complex_damped
2.98,0.9486832980505139,complex_damped
2.99,0.9486832980505138,complex_damped
3.0,0.9486832980505139,complex_damped
3.01,0.9486832980505139,complex_damped
3.02,0.9486832980505139,complex_damped
3.03,0.9486832980505138,complex_damped
3.04,0.9486832980505139,complex_damped
3.05,0.9486832980505138,complex_damped
3.06,0.9486832980505138,complex_damped
3.07,0.9486832980505139,complex_damped
3.08,0.9486832980505139,complex_damped
3.09,0.9486832980505138,complex_damped
3.1,0.9486832980505138,complex_damped
3.11,0.9486832980505138,complex_damped
3.12,0.9486832980505138,complex_damped
3.13,0.9486832980505139,complex_damped
3.14,0.9486832980505138,complex_damped
3.15,0.9486832980505138,complex_damped
3.16,0.9486832980505138,complex_damped
3.17,0.9486832980505139,complex_damped
3.18,0.9486832980505138,complex_damped
3.19,0.9486832980505138,complex_damped
3.2,0.9486832980505138,complex_damped
3.21,0.9486832980505138,complex_damped
3.22,0.9486832980505138,complex_damped
3.23,0.9486832980505138,complex_damped
3.24,0.9486832980505138,complex_damped
3.25,0.9486832980505138,complex_damped
3.26,0.9486832980505138,complex_damped
3.27,0.9486832980505138,complex_damped
3.28,0.9486832980505138,complex_damped
3.29,0.9486832980505139,complex_damped
3.3,0.9486832980505138,complex_damped
3.31,0.9486832980505139,complex_damped
3.32,0.9486832980505138,complex_damped
3.33,0.9486832980505138,complex_damped
3.34,0.9486832980505139,complex_damped
3.35,0.9486832980505138,complex_damped
3.36,0.9486832980505139,complex_damped
3.37,0.9486832980505138,complex_damped
3.38,0.9486832980505138,complex_damped
3.39,0.9486832980505138,complex_damped
3.4,0.9486832980505138,complex_damped
3.41,0.9486832980505138,complex_damped
3.42,0.9486832980505138,complex_damped
3.43,0.9486832980505138,complex_damped
3.44,0.9486832980505138,complex_damped
3.45,0.9486832980505138,complex_damped
3.46,0.9486832980505138,complex_damped
3.47,0.9486832980505138,complex_damped
3.48,0.9486832980505138,complex_damped
3.49,0.9486832980505138,complex_damped
3.5,0.9486832980505138,complex_damped
3.51,0.9486832980505138,complex_damped
3.52,0.9486832980505138,complex_damped
3.53,0.9486832980505138,complex_damped
3.54,0.9486832980505138,complex_damped
3.55,0.9486832980505138,complex_damped
3.56,0.9486832980505138,complex_damped
3.57,0.9486832980505138,complex_damped
3.58,0.9486832980505138,complex_damped
3.59,0.9486832980505138,complex_damped
3.6,0.9486832980505138,complex_damped
3.61,0.9486832980505138,complex_damped
3.62,0.9486832980505138,complex_damped
3.63,0.9486832980505138,complex_damped
3.64,0.9486832980505138,complex_damped
3.65,0.9486832980505138,complex_damped
3.66,0.9486832980505138,complex_damped
3.67,0.9486832980505138,complex_damped
3.68,0.9486832980505138,complex_damped
3.69,0.9486832980505138,complex_damped
3.7,0.9486832980505138,complex_damped
3.71,0.9486832980505138,complex_damped
3.72,0.9486832980505138,complex_damped
3.73,0.9486832980505138,complex_damped
3.74,0.9486832980505138,complex_damped
3.75,0.9486832980505138,complex_damped
3.76,0.9486832980505138,complex_damped
3.77,0.9486832980505138,complex_damped
3.78,0.9486832980505138,complex_damped
3.79,0.9486832980505138,complex_damped
3.8,0.9999999999999994,unstable
3.81,1.064658560997307,unstable
3.82,1.1069693845669906,unstable
3.83,1.1417059704707235,unstable
3.84,1.1722374841615666,unstable
3.85,1.2000000000000004,unstable
3.86,1.22576411454889,unstable
3.87,1.2500000000000004,unstable
3.88,1.273019433961698,unstable
3.89,1.2950416637735505,unstable
3.9,1.316227766016838,unstable
3.91,1.33670016581244,unstable
3.92,1.3565544690232691,unstable
3.93,1.3758670115153229,unstable
3.94,1.3946998799039039,unstable
3.95,1.4131043674065011,unstable
3.96,1.4311234224026315,unstable
3.97,1.4487934267240121,unstable
3.98,1.4661455150532505,unstable
3.99,1.4832065722921102,unstable
4.0,1.5,unstable
4.01,1.5165463140357638,unstable
4.02,1.532863616701475,unstable
4.03,1.5489679741470508,unstable
4.04,1.5648737212663448,unstable
4.05,1.580593710403917,unstable
4.06,1.596139516022557,unstable
4.07,1.6115216044950107,unstable
4.08,1.6267494760127859,unstable
4.09,1.6418317840067456,unstable
4.1,1.656776436283002,unstable
4.11,1.671590681179986,unstable
4.12,1.6862811813689567,unstable
4.13,1.700854077394704,unstable
4.14,1.7153150426454884,unstable
4.15,1.7296693311223916,unstable
4.16,1.7439218191268335,unstable
4.17,1.7580770417853637,unstable
4.18,1.772139225171164,unstable
4.19,1.7861123146532134,unstable
4.2,1.8000000000000003,unstable
